ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
123820,f,false,374630,false,131029,false
123842,m,false,218908,false,383835,false
123862,m,false,,false,,false
123885,f,false,237105,false,375101,false
123937,m,false,,false,,false
123976,m,false,,false,,false
124005,f,false,239382,false,267928,false
124056,m,false,389197,false,289858,false
124133,m,false,,false,,false
124181,f,false,213557,false,333394,false
124188,m,false,135660,false,318406,false
124196,m,false,358787,false,142836,false
124197,f,false,375257,false,265705,false
124206,m,false,256222,false,158538,false
124221,f,false,387767,false,381570,false
124247,f,false,374630,false,355536,false
124271,m,false,,false,,false
124277,f,false,,false,,false
124314,f,false,,false,,false
124340,f,false,408742,false,310070,false
124387,f,false,,false,,false
124410,f,false,202184,false,207212,false
124443,f,false,,false,,false
124479,f,false,106176,false,279712,false
124522,m,false,,false,,false
124533,f,false,,false,,false
124647,m,false,,false,,false
124724,m,false,,false,,false
124739,f,false,,false,,false
124740,f,false,407757,false,401684,false
124749,m,false,,false,,false
124750,f,false,367724,false,296308,false
124752,m,false,140780,false,262939,false
124774,m,false,,false,,false
124799,f,false,114859,false,377627,false
124830,f,false,,false,,false
124870,f,false,339325,false,183101,false
124879,f,false,340824,false,262616,false
124886,f,false,,false,,false
124948,m,true,257218,false,306728,false
125004,m,false,,false,,false
125186,f,false,,false,,false
125245,f,false,,false,,false
125252,f,true,392351,true,302939,false
125255,m,false,225399,false,238501,false
125264,m,false,,false,,false
125318,f,false,321467,false,122217,false
125341,m,false,,false,,false
125355,f,false,218025,false,317872,false
125390,f,false,312584,false,390695,false
125427,m,false,,false,,false
125501,f,false,,false,,false
125503,f,false,,false,,false
125526,f,false,,false,,false
125563,m,false,,false,,false
125648,f,true,375219,false,105889,false
125664,m,false,,false,,false
125703,m,false,217059,false,167589,false
125725,m,false,,false,,false
125762,f,false,284739,false,351321,false
125831,m,false,234102,false,392670,false
125888,f,false,,false,,false
125993,m,false,266305,false,344027,false
126008,f,false,211724,false,359278,false
126040,m,false,,false,,false
126054,m,false,,false,,false
126058,m,false,126411,false,375324,false
126140,f,true,297518,false,154211,false
126169,f,false,173640,false,326370,false
126234,f,false,,false,,false
126235,m,false,,false,,false
126264,f,false,,false,,false
126275,f,false,,false,,false
126294,f,false,283767,false,373178,false
126295,f,false,,false,,false
126317,m,false,,false,,false
126328,f,false,,false,,false
126356,m,false,186107,false,227927,false
126361,f,false,,false,,false
126405,f,false,,false,,false
126411,m,false,,false,,false
126529,m,false,389197,false,319194,false
126575,f,false,,false,,false
126576,m,true,232512,true,126140,true
126611,f,false,199774,false,134188,false
126617,m,false,,false,,false
126644,f,false,309430,false,277915,false
126649,m,false,,false,,false
126663,m,false,,false,,false
126683,f,false,,false,,false
126807,m,false,,false,,false
126832,m,false,,false,,false
126848,f,false,,false,,false
126872,f,false,128193,false,323758,false
126889,m,false,,false,,false
126967,m,false,,false,,false
126971,f,true,142378,false,124410,false
127014,m,false,,false,,false
127033,f,false,353359,false,398984,false
127070,f,false,,false,,false
127098,m,false,363555,false,399266,false
127118,f,false,,false,,false
127122,f,false,,false,,false
127205,f,false,,false,,false
127269,m,false,,false,,false
127298,f,false,,false,,false
127373,f,false,,false,,false
127384,m,false,190751,false,269246,false
127394,f,false,,false,,false
127407,f,false,249433,false,319464,false
127447,m,false,,false,,false
127489,f,false,266305,false,344027,false
127522,f,false,115639,false,224345,false
127573,f,false,,false,,false
127602,f,false,,false,,false
127618,m,false,,false,,false
127638,f,false,,false,,false
127695,m,false,,false,,false
127701,f,false,,false,,false
127730,f,false,,false,,false
127869,m,false,132372,false,365493,false
127941,f,false,157572,false,357377,false
127971,m,false,,false,,false
127997,m,false,278117,false,310877,false
128049,m,false,,false,,false
128151,m,false,,false,,false
128168,f,false,223784,false,337547,false
128193,m,false,,false,,false
128231,f,false,,false,,false
128263,f,false,,false,,false
128299,f,false,131754,false,197858,false
128319,f,false,245280,false,243552,false
128397,m,true,301486,false,134407,false
128419,f,false,,false,,false
128422,m,false,,false,,false
128443,f,false,,false,,false
128451,f,false,190576,false,320536,false
128509,f,false,,false,,false
128515,f,false,,false,,false
128528,f,false,,false,,false
128559,f,false,231123,false,223042,false
128560,m,false,,false,,false
128643,f,false,,false,,false
128705,f,false,,false,,false
128762,m,false,339494,false,292444,false
128765,f,false,,false,,false
128772,m,false,,false,,false
128869,m,false,,false,,false
128928,f,false,,false,,false
128931,m,false,,false,,false
128991,f,false,352889,false,367181,false
129008,f,false,,false,,false
129046,m,false,,false,,false
129115,m,false,304061,false,322629,false
129128,f,false,,false,,false
129154,f,false,,false,,false
129167,f,false,,false,,false
129201,f,false,294411,false,250350,false
129240,m,false,,false,,false
129250,m,false,,false,,false
129255,m,false,,false,,false
