ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM,Probability
120093,m,False,,False,,False,0.0
120100,f,False,,False,,False,0.0
120149,m,False,,False,,False,0.0
120158,m,False,,False,,False,0.0
120180,f,False,141750.0,False,212745.0,False,0.0
120197,f,True,142378.0,False,150328.0,False,0.0
120211,m,False,,False,,False,0.0
120232,f,False,,False,,False,0.0
120246,f,False,135800.0,False,319172.0,False,0.0
120341,f,False,,False,,False,0.0
120354,f,False,106692.0,False,100847.0,False,0.0
120374,f,False,401583.0,False,379501.0,False,0.0
120388,f,False,262966.0,False,296598.0,False,0.0
120389,f,False,217196.0,False,202462.0,False,0.0
120434,f,True,182751.0,False,244599.0,True,0.0
120451,m,False,,False,,False,0.0
120462,f,False,,False,,False,0.0
120486,f,False,,False,,False,0.0
120543,m,False,,False,,False,0.0
120545,f,False,363295.0,False,125245.0,False,0.0
120560,m,False,,False,,False,0.0
120629,f,False,322201.0,False,377196.0,False,0.0
120649,f,False,,False,,False,0.0
120670,f,False,,False,,False,0.0
120679,m,False,339116.0,False,384420.0,False,0.0
120682,f,False,,False,,False,0.0
120729,f,False,214803.0,False,299450.0,False,0.0
120751,f,False,,False,,False,0.0
120777,m,False,,False,,False,0.0
120832,f,False,,False,,False,0.0
120834,f,False,375591.0,False,322422.0,False,0.0
120837,m,False,,False,,False,0.0
